ensmbl_id,c3h_hej_bsl_0days_avg,c3h_hej_flt_25days_avg,c3h_hej_flt_75days_avg,c3h_hej_gc_25days_avg,c3h_hej_gc_75days_avg,c3h_hej_viv_25days_avg,c3h_hej_viv_75days_avg
ENSMUSG00000000631,6937.627667864586,6860.613988595216,7710.935998081613,6163.6436736091,6025.245640604846,6646.351416936411,6050.729992617349
ENSMUSG00000000632,3.0980564702899884,4.2049198282231925,7.154184643624264,3.30699746330404,3.1374014733658364,3.507489594197468,4.264736435729194
ENSMUSG00000000673,3304.091634393224,2536.5963793937426,3180.694191314053,2244.1279678900237,2269.6910058054623,2161.294011079396,2639.985127223369
ENSMUSG00000000682,203.06786208117916,183.9264604340346,240.59978995009402,293.6237919253594,195.7299784147786,237.2035548836264,262.4986852014466
ENSMUSG00000000686,136.49394386899309,152.23836902185138,146.06826419386778,155.2588763074334,127.87469465613033,159.00429635201561,151.27642068469075
ENSMUSG00000000690,591.9581172607815,614.3265274949619,607.474520886406,493.37495655593483,526.204982776992,517.1871667981974,511.01944524332276
ENSMUSG00000000693,158.21969905641853,194.564696166462,189.47499577972616,159.37902611278346,132.15674821037675,187.48143397642187,166.6610125173785
ENSMUSG00000000706,1.7169269671542682,3.6214173020378184,0.862653973720357,2.2237619738170302,2.3530341849036276,1.0028994170314107,1.5585726372864566
ENSMUSG00000000708,4557.852599813614,4411.078417912659,5765.202174461689,6967.643684980886,7619.985288687856,5039.825742611364,6233.700599844136
ENSMUSG00000000711,6676.68088267067,6373.839284948948,6713.08197515826,6181.221338066158,6624.395477018688,6273.842114278157,6879.069884939784
ENSMUSG00000000730,8.884594955751265,6.987437204452559,6.7991688666542345,7.37552261946435,8.352199260406227,5.863851837188634,8.15289406238602
ENSMUSG00000000731,5.601233385131889,4.468740804647409,2.260030010384541,2.3394093175062802,5.108007169419153,6.1471350736373545,6.047459967056626
ENSMUSG00000000732,3141.4525075002043,2817.286471658516,1858.35447438798,1997.363513365748,1375.6244244875838,2645.8359732669182,1758.834517637894
