Unnamed: 0_nan_nan_nan_nan,Mmus_C3H-HeJ_KDN_BSL_0days,Mmus_C3H-HeJ_KDN_FLT_25days,Mmus_C3H-HeJ_KDN_FLT_75days,Mmus_C3H-HeJ_KDN_GC_25days,Mmus_C3H-HeJ_KDN_GC_75days,Mmus_C3H-HeJ_KDN_VIV_25days,Mmus_C3H-HeJ_KDN_VIV_75days,Mmus_C57-6J_KDN_BSL_0days,Mmus_C57-6J_KDN_FLT_25days,Mmus_C57-6J_KDN_FLT_75days,Mmus_C57-6J_KDN_GC_25days,Mmus_C57-6J_KDN_GC_75days,Mmus_C57-6J_KDN_VIV_25days,Mmus_C57-6J_KDN_VIV_75days
ENSMUSG00000000001,7833.879926346646,7447.67627021859,7783.138868956322,10081.278449689711,10453.341109053621,8281.393144475729,9101.63672860082,7040.3968414795945,7732.764909961758,7247.618575587025,7166.237754616758,8062.8137640251525,7829.191520069877,8757.062675557541
ENSMUSG00000000028,69.6433877088634,83.01736530699972,92.3933072073299,82.93224247304657,59.00013324022522,100.21083941065743,79.13921606726697,69.49736430469686,67.31056048005875,73.65581199218622,78.57121535409468,69.7609020576004,89.46120338277298,84.01531161381475
ENSMUSG00000000037,117.68171412521832,144.36223507132755,89.87521664568146,181.26005928279514,145.69587425071356,134.55376489428863,96.81551043708427,20.54359437164769,37.37104028652036,57.20261279242341,17.61654516724046,32.5272463356159,37.86854888593446,39.73078754091701
ENSMUSG00000000056,2782.270288780961,2746.691533254424,2586.364842181472,2685.91988513137,2893.7760946937897,2781.5759126582043,2949.319904323224,2611.8171239552403,2208.427036222264,2140.704869125154,2247.257840959358,2412.36761645673,2279.277098445808,2324.481037283242
ENSMUSG00000000058,3967.7704788035253,3508.7712898418517,4119.6067955838025,6365.970255308021,5497.351377298052,3687.269894146004,4416.323938925926,3373.9791624719933,3883.6693680614285,3554.043015315658,3924.812040404194,3993.9584478802726,3256.676624677374,4764.727332165814
ENSMUSG00000000078,2759.2272331314766,3350.402625640928,3079.446401646854,4075.372265885494,3544.0506746704696,3587.238628324052,3145.534862296434,2855.7168687391454,3385.312062217592,3257.542052950214,3000.0613494251897,3346.1740839091,3194.217157703088,3698.826031783902
ENSMUSG00000000085,620.0501013304915,655.301801064177,621.3487600013784,580.4863785702638,585.2485714365836,606.7019840676669,571.5023270468254,647.7978866305389,606.2722698716998,693.6384146860054,697.171915868391,615.5165853831363,590.1642875768454,579.6179903072432
ENSMUSG00000000088,10593.998661398748,9600.106912959316,9092.701121811737,10761.255260973285,12937.813756057636,10378.620271241118,11245.205796765615,11778.354832118033,11512.671761085727,9172.54208133359,10399.885045801597,12073.026763468963,11464.749174340288,11568.61339712263
ENSMUSG00000000093,1278.6011205840186,1370.0865937743322,1549.2440309460999,1199.7950354410962,874.4548433814007,1344.6776008434033,1115.2720529957844,1219.7413623394584,1358.6433559696836,1421.398869764409,1312.5743767713898,936.4969240528272,1200.283389665307,1038.1438396599951
ENSMUSG00000000120,46.55868405364327,68.87439089151255,84.1287042021143,108.69130191891449,45.631014213823825,87.33267011467942,39.66631704985955,71.82052997070268,115.88664799421208,179.87889805176232,91.80586325282987,72.87421811373315,99.74987904981137,118.749211354994
